,Date,Procedure,n_Procedure,Temperature,EventTarget,day
1,12/11/2015,B,1,27,1,4
4,12/12/2015,B,2,21,0,5
7,12/13/2015,B,2,20,1,6
10,12/14/2015,B,2,27,0,0
13,12/15/2015,B,3,22,0,1
16,12/16/2015,B,1,23,0,2
19,12/17/2015,B,0,24,2,3
22,12/18/2015,B,1,20,2,4
25,12/19/2015,B,0,25,2,5
28,12/20/2015,B,4,25,2,6
31,12/21/2015,B,1,25,2,0
34,12/22/2015,B,4,21,2,1
37,12/23/2015,B,4,26,2,2
40,12/24/2015,B,7,23,0,3
43,12/25/2015,B,3,28,0,4
46,12/26/2015,B,3,19,0,5
49,12/27/2015,B,3,20,0,6
52,12/28/2015,B,2,24,0,0
55,12/29/2015,B,5,24,0,1
58,12/30/2015,B,5,27,0,2
61,12/31/2015,B,4,30,0,3
64,1/1/2016,B,2,19,0,4
67,1/2/2016,B,2,19,0,5
70,1/3/2016,B,5,19,0,6
73,1/4/2016,B,4,20,0,0
76,1/5/2016,B,2,23,0,1
79,1/6/2016,B,5,23,0,2
82,1/7/2016,B,2,24,0,3
85,1/8/2016,B,2,25,0,4
88,1/9/2016,B,3,28,0,5
91,1/10/2016,B,4,21,0,6
94,1/11/2016,B,2,23,0,0
97,1/12/2016,B,1,19,1,1
100,1/13/2016,B,2,22,2,2
103,1/14/2016,B,3,21,2,3
106,1/15/2016,B,1,19,0,4
109,1/16/2016,B,4,21,0,5
112,1/17/2016,B,3,21,0,6
115,1/18/2016,B,1,21,0,0
118,1/19/2016,B,2,28,2,1
121,1/20/2016,B,2,21,2,2
124,1/21/2016,B,2,20,2,3
127,1/22/2016,B,5,25,0,4
130,1/23/2016,B,0,20,0,5
133,1/24/2016,B,2,29,0,6
136,1/25/2016,B,1,29,0,0
139,1/26/2016,B,2,21,0,1
142,1/27/2016,B,2,26,2,2
145,1/28/2016,B,3,20,2,3
148,1/29/2016,B,4,20,2,4
151,1/30/2016,B,3,17,2,5
154,1/31/2016,B,0,18,0,6
157,2/1/2016,B,3,18,0,0
160,2/2/2016,B,0,22,0,1
163,2/3/2016,B,3,21,2,2
166,2/4/2016,B,2,19,2,3
169,2/5/2016,B,2,27,2,4
172,2/6/2016,B,1,26,2,5
175,2/7/2016,B,1,26,1,6
178,2/8/2016,B,4,28,1,0
181,2/9/2016,B,1,23,2,1
184,2/10/2016,B,2,22,2,2
187,2/11/2016,B,4,23,2,3
190,2/12/2016,B,3,21,0,4
193,2/13/2016,B,3,19,0,5
196,2/14/2016,B,4,24,0,6
199,2/15/2016,B,3,24,0,0
202,2/16/2016,B,6,23,2,1
205,2/17/2016,B,1,24,2,2
208,2/18/2016,B,5,25,2,3
211,2/19/2016,B,7,25,2,4
214,2/20/2016,B,3,20,2,5
217,2/21/2016,B,4,29,0,6
220,2/22/2016,B,2,33,0,0
223,2/23/2016,B,1,33,0,1
226,2/24/2016,B,1,33,2,2
229,2/25/2016,B,2,22,2,3
232,2/26/2016,B,2,26,2,4
235,2/27/2016,B,4,24,2,5
