,Date,Procedure,n_Procedure,Temperature,EventTarget,day
2,12/11/2015,C,0,27,1,4
5,12/12/2015,C,3,21,0,5
8,12/13/2015,C,3,20,1,6
11,12/14/2015,C,2,27,0,0
14,12/15/2015,C,4,22,0,1
17,12/16/2015,C,3,23,0,2
20,12/17/2015,C,4,24,2,3
23,12/18/2015,C,4,20,2,4
26,12/19/2015,C,2,25,2,5
29,12/20/2015,C,2,25,2,6
32,12/21/2015,C,3,25,2,0
35,12/22/2015,C,4,21,2,1
38,12/23/2015,C,4,26,2,2
41,12/24/2015,C,2,23,0,3
44,12/25/2015,C,2,28,0,4
47,12/26/2015,C,4,19,0,5
50,12/27/2015,C,2,20,0,6
53,12/28/2015,C,1,24,0,0
56,12/29/2015,C,3,24,0,1
59,12/30/2015,C,4,27,0,2
62,12/31/2015,C,4,30,0,3
65,1/1/2016,C,4,19,0,4
68,1/2/2016,C,2,19,0,5
71,1/3/2016,C,2,19,0,6
74,1/4/2016,C,5,20,0,0
77,1/5/2016,C,3,23,0,1
80,1/6/2016,C,6,23,0,2
83,1/7/2016,C,5,24,0,3
86,1/8/2016,C,1,25,0,4
89,1/9/2016,C,2,28,0,5
92,1/10/2016,C,4,21,0,6
95,1/11/2016,C,1,23,0,0
98,1/12/2016,C,4,19,1,1
101,1/13/2016,C,5,22,2,2
104,1/14/2016,C,1,21,2,3
107,1/15/2016,C,1,19,0,4
110,1/16/2016,C,10,21,0,5
113,1/17/2016,C,3,21,0,6
116,1/18/2016,C,4,21,0,0
119,1/19/2016,C,2,28,2,1
122,1/20/2016,C,3,21,2,2
125,1/21/2016,C,3,20,2,3
128,1/22/2016,C,3,25,0,4
131,1/23/2016,C,2,20,0,5
134,1/24/2016,C,3,29,0,6
137,1/25/2016,C,4,29,0,0
140,1/26/2016,C,4,21,0,1
143,1/27/2016,C,3,26,2,2
146,1/28/2016,C,1,20,2,3
149,1/29/2016,C,1,20,2,4
152,1/30/2016,C,4,17,2,5
155,1/31/2016,C,2,18,0,6
158,2/1/2016,C,3,18,0,0
161,2/2/2016,C,2,22,0,1
164,2/3/2016,C,1,21,2,2
167,2/4/2016,C,4,19,2,3
170,2/5/2016,C,3,27,2,4
173,2/6/2016,C,3,26,2,5
176,2/7/2016,C,3,26,1,6
179,2/8/2016,C,5,28,1,0
182,2/9/2016,C,2,23,2,1
185,2/10/2016,C,3,22,2,2
188,2/11/2016,C,3,23,2,3
191,2/12/2016,C,3,21,0,4
194,2/13/2016,C,3,19,0,5
197,2/14/2016,C,4,24,0,6
200,2/15/2016,C,6,24,0,0
203,2/16/2016,C,2,23,2,1
206,2/17/2016,C,5,24,2,2
209,2/18/2016,C,2,25,2,3
212,2/19/2016,C,3,25,2,4
215,2/20/2016,C,1,20,2,5
